Model,archType,numL,numN,numP,numEpoch,timeTrainMean,timeTrainStd,timeTestMean,timTestStd,accMean,accStd
Keras,2,1,1024,814864,5, 30.565,1.2693, 0.543,0.0470, 0.967,0.0143
Keras,2,1,64,51664,10, 7.250,0.7799, 0.079,0.0277, 0.974,0.0041
Keras,2,1,128,102544,10, 11.090,0.7289, 0.126,0.0326, 0.976,0.0049
Keras,2,1,512,407824,10, 35.146,3.1619, 0.313,0.0308, 0.977,0.0066
Keras,2,1,1024,814864,10, 63.128,4.2771, 0.574,0.0505, 0.976,0.0085
Torch,2,1,64,51664,1, 1.467,0.0186, 0.194,0.0317, 0.869,0.0062
Torch,2,1,128,102544,1, 1.837,0.0277, 0.204,0.0112, 0.896,0.0020
Torch,2,1,512,407824,1, 4.820,0.0763, 0.362,0.0399, 0.921,0.0032
Torch,2,1,1024,814864,1, 8.816,0.0814, 0.552,0.0326, 0.932,0.0015
Torch,2,1,64,51664,5, 7.058,0.0692, 0.178,0.0109, 0.908,0.0034
Torch,2,1,128,102544,5, 9.137,0.0810, 0.207,0.0321, 0.927,0.0027
Torch,2,1,512,407824,5, 23.441,0.2073, 0.357,0.0357, 0.955,0.0009
Torch,2,1,1024,814864,5, 42.792,0.1209, 0.548,0.0294, 0.965,0.0016
Torch,2,1,64,51664,10, 14.321,0.0659, 0.176,0.0134, 0.920,0.0024
Torch,2,1,128,102544,10, 18.205,0.2553, 0.198,0.0092, 0.940,0.0022
Torch,2,1,512,407824,10, 46.847,0.8421, 0.342,0.0312, 0.969,0.0007
Torch,2,1,1024,814864,10, 86.591,1.0205, 0.560,0.0345, 0.978,0.0006
Caffe,2,1,64,51664,1, 1.050,0.0736, 0.107,0.0164, 0.886,0.0016
Caffe,2,1,128,102544,1, 1.211,0.0627, 0.127,0.0212, 0.887,0.0009
Caffe,2,1,512,407824,1, 2.720,0.0567, 0.203,0.0065, 0.886,0.0012
Caffe,2,1,1024,814864,1, 5.068,0.0548, 0.346,0.0322, 0.887,0.0010
Caffe,2,1,64,51664,5, 4.556,0.1715, 0.112,0.0095, 0.925,0.0018
Caffe,2,1,128,102544,5, 5.134,0.1243, 0.119,0.0198, 0.924,0.0014
Caffe,2,1,512,407824,5, 12.228,0.0920, 0.210,0.0045, 0.915,0.0014
Caffe,2,1,1024,814864,5, 23.114,0.3235, 0.335,0.0241, 0.909,0.0014
Caffe,2,1,64,51664,10, 8.850,0.1536, 0.109,0.0100, 0.940,0.0023
Caffe,2,1,128,102544,10, 10.246,0.0904, 0.124,0.0334, 0.941,0.0010
Caffe,2,1,512,407824,10, 24.480,0.4681, 0.214,0.0187, 0.932,0.0008
Caffe,2,1,1024,814864,10, 45.788,0.6295, 0.343,0.0269, 0.927,0.0015
TensorFlow,2,1,64,51664,1, 0.828,0.0098, 0.028,0.0040, 0.882,0.0040
TensorFlow,2,1,128,102544,1, 1.106,0.0150, 0.036,0.0049, 0.892,0.0040
TensorFlow,2,1,512,407824,1, 3.310,0.0465, 0.100,0.0000, 0.910,0.0000
TensorFlow,2,1,1024,814864,1, 16.522,0.4648, 0.208,0.0133, 0.916,0.0049
TensorFlow,2,1,64,51664,5, 4.534,0.1122, 0.030,0.0000, 0.938,0.0040
TensorFlow,2,1,128,102544,5, 5.984,0.1892, 0.040,0.0000, 0.940,0.0000
TensorFlow,2,1,512,407824,5, 15.452,0.4244, 0.108,0.0075, 0.946,0.0049
TensorFlow,2,1,1024,814864,5, 73.258,4.7507, 0.188,0.0040, 0.944,0.0080
TensorFlow,2,1,64,51664,10, 8.796,0.0758, 0.030,0.0000, 0.946,0.0049
TensorFlow,2,1,128,102544,10, 12.450,0.7150, 0.042,0.0040, 0.950,0.0063
TensorFlow,2,1,512,407824,10, 29.656,0.9239, 0.108,0.0075, 0.956,0.0049
TensorFlow,2,1,1024,814864,10, 143.634,3.4730, 0.196,0.0080, 0.952,0.0040
Deeplearning4J,2,1,64,51664,1, 11.053,0.8024, 0.798,0.1035, 0.914,0.0000
Deeplearning4J,2,1,128,102544,1, 17.570,0.8652, 0.870,0.1718, 0.912,0.0000
Deeplearning4J,2,1,512,407824,1, 50.009,0.9918, 1.207,0.1760, 0.912,0.0000
Deeplearning4J,2,1,1024,814864,1, 74.947,0.5479, 1.380,0.0939, 0.913,0.0000
Deeplearning4J,2,1,64,51664,5, 50.484,0.8554, 0.711,0.0653, 0.947,0.0000
Deeplearning4J,2,1,128,102544,5, 80.194,0.6614, 0.743,0.0732, 0.947,0.0000
Deeplearning4J,2,1,512,407824,5, 236.770,2.3360, 1.139,0.1169, 0.935,0.0000
Deeplearning4J,2,1,1024,814864,5, 373.474,4.0709, 1.392,0.1212, 0.928,0.0000
Deeplearning4J,2,1,64,51664,10, 95.710,1.2463, 0.686,0.1199, 0.960,0.0000
Deeplearning4J,2,1,128,102544,10, 147.579,1.0485, 0.682,0.0429, 0.961,0.0000
Deeplearning4J,2,1,512,407824,10, 467.441,2.3009, 1.031,0.0650, 0.958,0.0000
Deeplearning4J,2,1,1024,814864,10, 729.144,2.2181, 1.357,0.0536, 0.948,0.0000
