model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p128-b128-e1, 1.200, 0.136, 0.887
ModelFCNN-Caffe-p128-b128-e1, 1.204, 0.130, 0.888
ModelFCNN-Caffe-p128-b128-e1, 1.167, 0.132, 0.887
ModelFCNN-Caffe-p128-b128-e1, 1.296, 0.127, 0.886
ModelFCNN-Caffe-p128-b128-e1, 1.218, 0.125, 0.886
ModelFCNN-Caffe-p128-b128-e1, 1.288, 0.110, 0.887
ModelFCNN-Caffe-p128-b128-e1, 1.218, 0.080, 0.886
ModelFCNN-Caffe-p128-b128-e1, 1.123, 0.128, 0.888
ModelFCNN-Caffe-p128-b128-e1, 1.286, 0.130, 0.886
ModelFCNN-Caffe-p128-b128-e1, 1.108, 0.170, 0.885
