model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p512-b128-e1, 2.647, 0.211, 0.887
ModelFCNN-Caffe-p512-b128-e1, 2.710, 0.216, 0.888
ModelFCNN-Caffe-p512-b128-e1, 2.704, 0.205, 0.885
ModelFCNN-Caffe-p512-b128-e1, 2.710, 0.204, 0.885
ModelFCNN-Caffe-p512-b128-e1, 2.659, 0.207, 0.887
ModelFCNN-Caffe-p512-b128-e1, 2.783, 0.202, 0.886
ModelFCNN-Caffe-p512-b128-e1, 2.737, 0.197, 0.885
ModelFCNN-Caffe-p512-b128-e1, 2.669, 0.201, 0.888
ModelFCNN-Caffe-p512-b128-e1, 2.845, 0.193, 0.886
ModelFCNN-Caffe-p512-b128-e1, 2.734, 0.198, 0.885
