model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p64-b128-e10, 9.015, 0.121, 0.939
ModelFCNN-Caffe-p64-b128-e10, 8.966, 0.119, 0.939
ModelFCNN-Caffe-p64-b128-e10, 9.027, 0.093, 0.943
ModelFCNN-Caffe-p64-b128-e10, 8.611, 0.108, 0.943
ModelFCNN-Caffe-p64-b128-e10, 8.871, 0.112, 0.942
ModelFCNN-Caffe-p64-b128-e10, 8.795, 0.110, 0.943
ModelFCNN-Caffe-p64-b128-e10, 8.545, 0.091, 0.939
ModelFCNN-Caffe-p64-b128-e10, 8.947, 0.104, 0.936
ModelFCNN-Caffe-p64-b128-e10, 8.845, 0.107, 0.939
ModelFCNN-Caffe-p64-b128-e10, 8.877, 0.121, 0.938
