model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p1024-b128-e10, 45.666, 0.322, 0.928
ModelFCNN-Caffe-p1024-b128-e10, 44.811, 0.332, 0.926
ModelFCNN-Caffe-p1024-b128-e10, 45.698, 0.362, 0.926
ModelFCNN-Caffe-p1024-b128-e10, 45.309, 0.321, 0.927
ModelFCNN-Caffe-p1024-b128-e10, 45.341, 0.340, 0.926
ModelFCNN-Caffe-p1024-b128-e10, 47.117, 0.416, 0.927
ModelFCNN-Caffe-p1024-b128-e10, 46.425, 0.334, 0.927
ModelFCNN-Caffe-p1024-b128-e10, 45.590, 0.323, 0.924
ModelFCNN-Caffe-p1024-b128-e10, 45.584, 0.343, 0.927
ModelFCNN-Caffe-p1024-b128-e10, 46.338, 0.339, 0.930
