model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p100-b128-e5, 5.168, 0.126, 0.926
ModelFCNN-Caffe-p100-b128-e5, 5.087, 0.114, 0.923
ModelFCNN-Caffe-p100-b128-e5, 5.351, 0.121, 0.925
ModelFCNN-Caffe-p100-b128-e5, 4.816, 0.097, 0.924
ModelFCNN-Caffe-p100-b128-e5, 5.110, 0.104, 0.923
ModelFCNN-Caffe-p100-b128-e5, 5.156, 0.124, 0.925
ModelFCNN-Caffe-p100-b128-e5, 5.043, 0.143, 0.922
ModelFCNN-Caffe-p100-b128-e5, 5.344, 0.126, 0.924
ModelFCNN-Caffe-p100-b128-e5, 5.148, 0.124, 0.924
ModelFCNN-Caffe-p100-b128-e5, 4.942, 0.099, 0.926
