Model,archType,numL,numN,numP,numEpoch,timeTrainMean,timeTrainStd,timeTestMean,timTestStd,accMean,accStd
Keras,2,1,1024,814864,5, 21.875,0.6560, 0.171,0.0394, 0.978,0.0061
Keras,2,1,64,51664,10, 4.843,0.1339, 0.034,0.0004, 0.974,0.0038
Keras,2,1,128,102544,10, 7.269,0.1599, 0.043,0.0009, 0.976,0.0035
Keras,2,1,512,407824,10, 22.173,0.5400, 0.092,0.0129, 0.980,0.0026
Keras,2,1,1024,814864,10, 44.768,1.2332, 0.151,0.0032, 0.981,0.0028
Torch,2,1,64,51664,1, 1.429,0.0689, 0.177,0.0161, 0.518,0.1029
Torch,2,1,128,102544,1, 1.802,0.0340, 0.183,0.0157, 0.690,0.0948
Torch,2,1,512,407824,1, 4.293,0.1188, 0.267,0.0351, 0.917,0.0071
Torch,2,1,1024,814864,1, 7.630,0.0421, 0.395,0.0401, 0.937,0.0058
Torch,2,1,64,51664,5, 6.926,0.1034, 0.172,0.0057, 0.635,0.1082
Torch,2,1,128,102544,5, 8.785,0.1151, 0.207,0.0391, 0.862,0.0424
Torch,2,1,512,407824,5, 21.143,0.1906, 0.274,0.0261, 0.954,0.0060
Torch,2,1,1024,814864,5, 38.262,0.1271, 0.375,0.0333, 0.970,0.0018
Torch,2,1,64,51664,10, 13.883,0.1303, 0.177,0.0119, 0.694,0.1475
Torch,2,1,128,102544,10, 17.223,0.2660, 0.193,0.0372, 0.913,0.0281
Torch,2,1,512,407824,10, 43.004,0.9027, 0.259,0.0141, 0.962,0.0057
Torch,2,1,1024,814864,10, 76.789,0.5411, 0.405,0.0480, 0.980,0.0029
Caffe,2,1,64,51664,1, 0.919,0.0706, 0.095,0.0131, 0.888,0.0022
Caffe,2,1,128,102544,1, 1.003,0.1008, 0.101,0.0134, 0.890,0.0015
Caffe,2,1,512,407824,1, 1.709,0.0404, 0.150,0.0324, 0.894,0.0016
Caffe,2,1,1024,814864,1, 3.064,0.0717, 0.199,0.0265, 0.897,0.0015
Caffe,2,1,64,51664,5, 4.102,0.1688, 0.096,0.0102, 0.930,0.0019
