model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.576, 0.193, 0.925
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.524, 0.235, 0.950
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.576, 0.184, 0.957
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.626, 0.182, 0.961
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.644, 0.193, 0.966
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.619, 0.188, 0.968
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.666, 0.181, 0.970
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.623, 0.187, 0.974
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.567, 0.184, 0.972
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.634, 0.190, 0.976
