model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100-b128-e5, 5.223, 0.115, 0.956
ModelFCN-Keras-p100:100-b128-e5, 5.229, 0.110, 0.969
ModelFCN-Keras-p100:100-b128-e5, 5.299, 0.111, 0.975
ModelFCN-Keras-p100:100-b128-e5, 5.357, 0.121, 0.977
ModelFCN-Keras-p100:100-b128-e5, 5.261, 0.118, 0.979
ModelFCN-Keras-p100:100-b128-e5, 5.417, 0.110, 0.978
ModelFCN-Keras-p100:100-b128-e5, 5.242, 0.114, 0.978
ModelFCN-Keras-p100:100-b128-e5, 5.446, 0.115, 0.978
ModelFCN-Keras-p100:100-b128-e5, 5.270, 0.172, 0.979
ModelFCN-Keras-p100:100-b128-e5, 5.332, 0.114, 0.980
