model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100:100:100-b128-e5, 8.088, 0.190, 0.965
ModelFCN-Keras-p100:100:100:100-b128-e5, 8.035, 0.256, 0.973
ModelFCN-Keras-p100:100:100:100-b128-e5, 8.210, 0.272, 0.975
ModelFCN-Keras-p100:100:100:100-b128-e5, 8.125, 0.199, 0.977
ModelFCN-Keras-p100:100:100:100-b128-e5, 8.232, 0.186, 0.978
ModelFCN-Keras-p100:100:100:100-b128-e5, 8.188, 0.188, 0.978
ModelFCN-Keras-p100:100:100:100-b128-e5, 8.207, 0.201, 0.978
ModelFCN-Keras-p100:100:100:100-b128-e5, 8.288, 0.187, 0.979
ModelFCN-Keras-p100:100:100:100-b128-e5, 8.265, 0.190, 0.979
ModelFCN-Keras-p100:100:100:100-b128-e5, 8.272, 0.185, 0.979
