model, timeTrain, timeTest, acc
ModelFCN-Keras-p512-b128-e10, 35.540, 0.380, 0.958
ModelFCN-Keras-p512-b128-e10, 35.262, 0.335, 0.973
ModelFCN-Keras-p512-b128-e10, 35.656, 0.291, 0.976
ModelFCN-Keras-p512-b128-e10, 34.095, 0.284, 0.978
ModelFCN-Keras-p512-b128-e10, 35.109, 0.334, 0.979
ModelFCN-Keras-p512-b128-e10, 34.084, 0.285, 0.980
ModelFCN-Keras-p512-b128-e10, 30.332, 0.307, 0.980
ModelFCN-Keras-p512-b128-e10, 31.660, 0.314, 0.980
ModelFCN-Keras-p512-b128-e10, 42.821, 0.272, 0.980
ModelFCN-Keras-p512-b128-e10, 36.901, 0.329, 0.981
