model, timeTrain, timeTest, acc
ModelFCN-Keras-p64-b128-e10, 6.630, 0.081, 0.962
ModelFCN-Keras-p64-b128-e10, 7.227, 0.058, 0.972
ModelFCN-Keras-p64-b128-e10, 6.960, 0.140, 0.975
ModelFCN-Keras-p64-b128-e10, 6.880, 0.061, 0.975
ModelFCN-Keras-p64-b128-e10, 5.952, 0.060, 0.975
ModelFCN-Keras-p64-b128-e10, 6.625, 0.067, 0.975
ModelFCN-Keras-p64-b128-e10, 8.325, 0.125, 0.976
ModelFCN-Keras-p64-b128-e10, 7.494, 0.070, 0.976
ModelFCN-Keras-p64-b128-e10, 7.775, 0.059, 0.976
ModelFCN-Keras-p64-b128-e10, 8.632, 0.071, 0.976
