model, timeTrain, timeTest, acc
ModelFCN-Keras-p64-b128-e5, 3.474, 0.062, 0.948
ModelFCN-Keras-p64-b128-e5, 3.113, 0.058, 0.960
ModelFCN-Keras-p64-b128-e5, 3.138, 0.065, 0.963
ModelFCN-Keras-p64-b128-e5, 2.888, 0.072, 0.967
ModelFCN-Keras-p64-b128-e5, 3.028, 0.058, 0.969
ModelFCN-Keras-p64-b128-e5, 2.947, 0.064, 0.972
ModelFCN-Keras-p64-b128-e5, 2.958, 0.061, 0.972
ModelFCN-Keras-p64-b128-e5, 4.015, 0.086, 0.973
ModelFCN-Keras-p64-b128-e5, 4.169, 0.101, 0.974
ModelFCN-Keras-p64-b128-e5, 3.872, 0.138, 0.975
