model, timeTrain, timeTest, acc
ModelFCN-Keras-p128-b128-e1, 1.167, 0.116, 0.911
ModelFCN-Keras-p128-b128-e1, 1.094, 0.106, 0.926
ModelFCN-Keras-p128-b128-e1, 1.039, 0.106, 0.935
ModelFCN-Keras-p128-b128-e1, 1.121, 0.104, 0.940
ModelFCN-Keras-p128-b128-e1, 1.045, 0.107, 0.948
ModelFCN-Keras-p128-b128-e1, 1.092, 0.103, 0.951
ModelFCN-Keras-p128-b128-e1, 1.002, 0.109, 0.957
ModelFCN-Keras-p128-b128-e1, 1.049, 0.111, 0.958
ModelFCN-Keras-p128-b128-e1, 0.986, 0.109, 0.961
ModelFCN-Keras-p128-b128-e1, 1.062, 0.109, 0.963
