model, timeTrain, timeTest, acc
ModelFCN-Keras-p100-b128-e1, 0.717, 0.116, 0.913
ModelFCN-Keras-p100-b128-e1, 0.784, 0.076, 0.925
ModelFCN-Keras-p100-b128-e1, 0.735, 0.084, 0.936
ModelFCN-Keras-p100-b128-e1, 0.906, 0.082, 0.942
ModelFCN-Keras-p100-b128-e1, 0.735, 0.078, 0.947
ModelFCN-Keras-p100-b128-e1, 0.829, 0.077, 0.951
ModelFCN-Keras-p100-b128-e1, 0.778, 0.077, 0.954
ModelFCN-Keras-p100-b128-e1, 0.755, 0.074, 0.955
ModelFCN-Keras-p100-b128-e1, 0.868, 0.074, 0.959
ModelFCN-Keras-p100-b128-e1, 0.744, 0.074, 0.961
