model, timeTrain, timeTest, acc
ModelFCN-Keras-p128-b128-e5, 5.612, 0.091, 0.947
ModelFCN-Keras-p128-b128-e5, 8.514, 0.122, 0.961
ModelFCN-Keras-p128-b128-e5, 7.492, 0.109, 0.967
ModelFCN-Keras-p128-b128-e5, 8.815, 0.117, 0.969
ModelFCN-Keras-p128-b128-e5, 5.075, 0.095, 0.973
ModelFCN-Keras-p128-b128-e5, 5.104, 0.206, 0.975
ModelFCN-Keras-p128-b128-e5, 4.847, 0.093, 0.976
ModelFCN-Keras-p128-b128-e5, 4.710, 0.096, 0.977
ModelFCN-Keras-p128-b128-e5, 7.173, 0.253, 0.978
ModelFCN-Keras-p128-b128-e5, 5.597, 0.094, 0.978
