model, timeTrain, timeTest, acc
ModelFCN-Keras-p1024-b128-e10, 61.262, 0.602, 0.953
ModelFCN-Keras-p1024-b128-e10, 61.340, 0.499, 0.969
ModelFCN-Keras-p1024-b128-e10, 71.327, 0.610, 0.975
ModelFCN-Keras-p1024-b128-e10, 58.905, 0.647, 0.977
ModelFCN-Keras-p1024-b128-e10, 62.871, 0.577, 0.979
ModelFCN-Keras-p1024-b128-e10, 66.162, 0.600, 0.980
ModelFCN-Keras-p1024-b128-e10, 62.190, 0.596, 0.981
ModelFCN-Keras-p1024-b128-e10, 69.506, 0.603, 0.981
ModelFCN-Keras-p1024-b128-e10, 60.251, 0.485, 0.982
ModelFCN-Keras-p1024-b128-e10, 57.463, 0.524, 0.981
