model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100:100-b128-e10, 13.430, 0.150, 0.972
ModelFCN-Keras-p100:100:100-b128-e10, 13.556, 0.147, 0.976
ModelFCN-Keras-p100:100:100-b128-e10, 13.446, 0.150, 0.977
ModelFCN-Keras-p100:100:100-b128-e10, 13.527, 0.159, 0.976
ModelFCN-Keras-p100:100:100-b128-e10, 13.621, 0.152, 0.977
ModelFCN-Keras-p100:100:100-b128-e10, 13.477, 0.149, 0.977
ModelFCN-Keras-p100:100:100-b128-e10, 13.669, 0.155, 0.977
ModelFCN-Keras-p100:100:100-b128-e10, 13.725, 0.158, 0.977
ModelFCN-Keras-p100:100:100-b128-e10, 13.766, 0.149, 0.977
ModelFCN-Keras-p100:100:100-b128-e10, 13.913, 0.270, 0.977
