model, timeTrain, timeTest, acc
ModelFCN-Keras-p1024-b128-e1, 5.931, 0.511, 0.912
ModelFCN-Keras-p1024-b128-e1, 5.805, 0.485, 0.922
ModelFCN-Keras-p1024-b128-e1, 5.660, 0.560, 0.923
ModelFCN-Keras-p1024-b128-e1, 6.080, 0.478, 0.929
ModelFCN-Keras-p1024-b128-e1, 6.021, 0.546, 0.932
ModelFCN-Keras-p1024-b128-e1, 6.332, 0.521, 0.938
ModelFCN-Keras-p1024-b128-e1, 6.016, 0.556, 0.940
ModelFCN-Keras-p1024-b128-e1, 7.284, 0.879, 0.945
ModelFCN-Keras-p1024-b128-e1, 8.431, 0.595, 0.948
ModelFCN-Keras-p1024-b128-e1, 5.804, 0.578, 0.952
