model, timeTrain, timeTest, acc
ModelFCN-Keras-p512-b128-e5, 18.991, 0.305, 0.938
ModelFCN-Keras-p512-b128-e5, 16.166, 0.265, 0.959
ModelFCN-Keras-p512-b128-e5, 17.297, 0.323, 0.967
ModelFCN-Keras-p512-b128-e5, 17.066, 0.262, 0.972
ModelFCN-Keras-p512-b128-e5, 16.411, 0.264, 0.975
ModelFCN-Keras-p512-b128-e5, 17.209, 0.263, 0.977
ModelFCN-Keras-p512-b128-e5, 17.825, 0.263, 0.978
ModelFCN-Keras-p512-b128-e5, 14.901, 0.261, 0.979
ModelFCN-Keras-p512-b128-e5, 15.934, 0.466, 0.980
ModelFCN-Keras-p512-b128-e5, 17.233, 0.355, 0.980
