model, timeTrain, timeTest, acc
ModelFCN-Keras-p100-b128-e10, 7.673, 0.075, 0.959
ModelFCN-Keras-p100-b128-e10, 7.623, 0.075, 0.970
ModelFCN-Keras-p100-b128-e10, 7.751, 0.075, 0.974
ModelFCN-Keras-p100-b128-e10, 7.772, 0.074, 0.976
ModelFCN-Keras-p100-b128-e10, 7.847, 0.081, 0.976
ModelFCN-Keras-p100-b128-e10, 8.002, 0.076, 0.977
ModelFCN-Keras-p100-b128-e10, 7.692, 0.076, 0.977
ModelFCN-Keras-p100-b128-e10, 7.680, 0.161, 0.977
ModelFCN-Keras-p100-b128-e10, 7.740, 0.079, 0.977
ModelFCN-Keras-p100-b128-e10, 7.810, 0.077, 0.977
