model, timeTrain, timeTest, acc
ModelFCN-Caffe-p1024-b128-e1, 3.012, 0.276, 0.900
ModelFCN-Caffe-p1024-b128-e1, 3.206, 0.182, 0.896
ModelFCN-Caffe-p1024-b128-e1, 3.071, 0.183, 0.897
ModelFCN-Caffe-p1024-b128-e1, 3.103, 0.189, 0.900
ModelFCN-Caffe-p1024-b128-e1, 3.034, 0.201, 0.897
ModelFCN-Caffe-p1024-b128-e1, 2.945, 0.195, 0.897
ModelFCN-Caffe-p1024-b128-e1, 3.119, 0.195, 0.898
ModelFCN-Caffe-p1024-b128-e1, 3.026, 0.181, 0.898
ModelFCN-Caffe-p1024-b128-e1, 3.123, 0.190, 0.897
ModelFCN-Caffe-p1024-b128-e1, 3.001, 0.201, 0.895
