model, timeTrain, timeTest, acc
ModelFCN-Caffe-p64-b128-e10, 7.675, 0.100, 0.945
ModelFCN-Caffe-p64-b128-e10, 7.066, 0.093, 0.947
ModelFCN-Caffe-p64-b128-e10, 8.156, 0.098, 0.944
ModelFCN-Caffe-p64-b128-e10, 7.972, 0.105, 0.949
ModelFCN-Caffe-p64-b128-e10, 8.110, 0.111, 0.945
ModelFCN-Caffe-p64-b128-e10, 7.987, 0.099, 0.948
ModelFCN-Caffe-p64-b128-e10, 7.347, 0.099, 0.944
ModelFCN-Caffe-p64-b128-e10, 8.158, 0.085, 0.947
ModelFCN-Caffe-p64-b128-e10, 8.246, 0.099, 0.949
ModelFCN-Caffe-p64-b128-e10, 7.619, 0.103, 0.944
