model, timeTrain, timeTest, acc
ModelFCN-Caffe-p512-b128-e1, 1.666, 0.132, 0.897
ModelFCN-Caffe-p512-b128-e1, 1.730, 0.143, 0.893
ModelFCN-Caffe-p512-b128-e1, 1.769, 0.138, 0.895
ModelFCN-Caffe-p512-b128-e1, 1.720, 0.145, 0.893
ModelFCN-Caffe-p512-b128-e1, 1.720, 0.129, 0.894
ModelFCN-Caffe-p512-b128-e1, 1.634, 0.245, 0.894
ModelFCN-Caffe-p512-b128-e1, 1.663, 0.131, 0.891
ModelFCN-Caffe-p512-b128-e1, 1.702, 0.151, 0.894
ModelFCN-Caffe-p512-b128-e1, 1.747, 0.138, 0.893
ModelFCN-Caffe-p512-b128-e1, 1.740, 0.149, 0.892
