model, timeTrain, timeTest, acc
ModelFCN-Caffe-p64-b128-e1, 0.938, 0.087, 0.883
ModelFCN-Caffe-p64-b128-e1, 0.831, 0.098, 0.886
ModelFCN-Caffe-p64-b128-e1, 0.953, 0.101, 0.888
ModelFCN-Caffe-p64-b128-e1, 0.897, 0.109, 0.889
ModelFCN-Caffe-p64-b128-e1, 0.942, 0.084, 0.890
ModelFCN-Caffe-p64-b128-e1, 0.882, 0.107, 0.891
ModelFCN-Caffe-p64-b128-e1, 0.966, 0.109, 0.888
ModelFCN-Caffe-p64-b128-e1, 0.866, 0.085, 0.887
ModelFCN-Caffe-p64-b128-e1, 1.082, 0.067, 0.886
ModelFCN-Caffe-p64-b128-e1, 0.838, 0.103, 0.889
