model, timeTrain, timeTest, acc
ModelFCN-Caffe-p1024-b128-e5, 13.879, 0.192, 0.942
ModelFCN-Caffe-p1024-b128-e5, 13.853, 0.183, 0.944
ModelFCN-Caffe-p1024-b128-e5, 14.201, 0.182, 0.941
ModelFCN-Caffe-p1024-b128-e5, 13.874, 0.192, 0.941
ModelFCN-Caffe-p1024-b128-e5, 14.059, 0.182, 0.941
ModelFCN-Caffe-p1024-b128-e5, 14.472, 0.193, 0.942
ModelFCN-Caffe-p1024-b128-e5, 14.406, 0.196, 0.941
ModelFCN-Caffe-p1024-b128-e5, 13.761, 0.188, 0.943
ModelFCN-Caffe-p1024-b128-e5, 13.906, 0.184, 0.943
ModelFCN-Caffe-p1024-b128-e5, 13.852, 0.181, 0.942
