model, timeTrain, timeTest, acc
ModelFCN-Caffe-p100:100:100:100-b128-e10, 10.402, 0.113, 0.959
ModelFCN-Caffe-p100:100:100:100-b128-e10, 10.223, 0.108, 0.964
ModelFCN-Caffe-p100:100:100:100-b128-e10, 10.402, 0.121, 0.963
ModelFCN-Caffe-p100:100:100:100-b128-e10, 10.402, 0.121, 0.965
ModelFCN-Caffe-p100:100:100:100-b128-e10, 10.316, 0.112, 0.963
ModelFCN-Caffe-p100:100:100:100-b128-e10, 10.221, 0.120, 0.961
ModelFCN-Caffe-p100:100:100:100-b128-e10, 10.215, 0.121, 0.956
ModelFCN-Caffe-p100:100:100:100-b128-e10, 10.337, 0.077, 0.957
ModelFCN-Caffe-p100:100:100:100-b128-e10, 10.111, 0.187, 0.963
ModelFCN-Caffe-p100:100:100:100-b128-e10, 10.134, 0.098, 0.965
