Model,archType,numL,numN,numP,numEpoch,timeTrainMean,timeTrainStd,timeTestMean,timTestStd,accMean,accStd
Keras,2,1,1024,814864,1, 4.0775,0.1318, 0.1512,0.0022, 0.9582,0.0146
Keras,2,1,64,51664,5, 2.4086,0.0821, 0.0353,0.0017, 0.9709,0.0076
Keras,2,1,128,102544,5, 3.5964,0.0967, 0.0462,0.0021, 0.9749,0.0069
Keras,2,1,512,407824,5, 11.0411,0.3407, 0.0892,0.0032, 0.9766,0.0070
Keras,2,1,1024,814864,5, 21.8745,0.6560, 0.1714,0.0394, 0.9780,0.0061
Keras,2,1,64,51664,10, 4.8433,0.1339, 0.0342,0.0004, 0.9741,0.0038
Keras,2,1,128,102544,10, 7.2694,0.1599, 0.0426,0.0009, 0.9764,0.0035
Keras,2,1,512,407824,10, 22.1730,0.5400, 0.0923,0.0129, 0.9802,0.0026
Keras,2,1,1024,814864,10, 44.7679,1.2332, 0.1508,0.0032, 0.9809,0.0028
Torch,2,1,64,51664,1, 1.3457,0.0773, 9.6172,0.3809, 0.4469,0.0652
Torch,2,1,128,102544,1, 1.7284,0.0538, 9.7331,0.4076, 0.6574,0.1730
Torch,2,1,512,407824,1, 4.1562,0.1423, 10.9112,0.6827, 0.9206,0.0064
Torch,2,1,1024,814864,1, 7.2332,0.0434, 19.7911,0.2925, 0.9294,0.0056
Torch,2,1,64,51664,5, 6.4528,0.0299, 14.8558,0.2964, 0.6011,0.0984
Torch,2,1,128,102544,5, 8.2927,0.1473, 16.1063,0.2873, 0.8651,0.0474
Torch,2,1,512,407824,5, 20.5338,0.9732, 26.9620,0.9943, 0.9389,0.0068
Torch,2,1,1024,814864,5, 36.4525,0.7606, 49.0903,0.8167, 0.9548,0.0044
Torch,2,1,64,51664,10, 13.0618,0.1258, 21.3840,0.1646, 0.6549,0.1666
Torch,2,1,128,102544,10, 16.2276,0.3046, 24.2001,0.4042, 0.8894,0.0220
Torch,2,1,512,407824,10, 39.8243,0.9703, 46.1903,1.0544, 0.9483,0.0053
Torch,2,1,1024,814864,10, 72.7569,0.7665, 85.4267,0.8641, 0.9596,0.0049
Caffe,2,1,64,51664,1, 0.9195,0.0706, 0.0950,0.0131, 0.8877,0.0022
Caffe,2,1,128,102544,1, 1.0035,0.1008, 0.1010,0.0134, 0.8898,0.0015
Caffe,2,1,512,407824,1, 1.7091,0.0404, 0.1501,0.0324, 0.8936,0.0016
Caffe,2,1,1024,814864,1, 3.0640,0.0717, 0.1993,0.0265, 0.8975,0.0015
Caffe,2,1,64,51664,5, 4.1017,0.1688, 0.0960,0.0102, 0.9304,0.0019
Caffe,2,1,128,102544,5, 4.2846,0.3100, 0.1068,0.0085, 0.9337,0.0017
Caffe,2,1,512,407824,5, 7.5585,0.0648, 0.1369,0.0071, 0.9404,0.0009
Caffe,2,1,1024,814864,5, 14.0263,0.2376, 0.1873,0.0053, 0.9420,0.0010
Caffe,2,1,64,51664,10, 7.8336,0.3736, 0.0992,0.0066, 0.9462,0.0019
Caffe,2,1,128,102544,10, 8.3269,0.3279, 0.1080,0.0292, 0.9520,0.0018
Caffe,2,1,512,407824,10, 14.8629,0.1899, 0.1474,0.0248, 0.9557,0.0009
Caffe,2,1,1024,814864,10, 28.0551,0.7610, 0.1915,0.0084, 0.9574,0.0005
Tensorflow,2,1,64,51664,1, 0.8680,0.0204, 0.0260,0.0049, 0.8640,0.0102
Tensorflow,2,1,128,102544,1, 1.3280,0.0319, 0.0360,0.0049, 0.9120,0.0040
Tensorflow,2,1,512,407824,1, 3.1980,0.0248, 0.1000,0.0000, 0.9340,0.0049
Tensorflow,2,1,1024,814864,1, 5.4520,0.0453, 0.1860,0.0080, 0.9380,0.0040
Tensorflow,2,1,64,51664,5, 4.5840,0.0206, 0.0300,0.0000, 0.9320,0.0040
Tensorflow,2,1,128,102544,5, 6.5420,0.0966, 0.0400,0.0000, 0.9440,0.0049
Tensorflow,2,1,512,407824,5, 16.4280,0.1836, 0.1000,0.0000, 0.9560,0.0049
Tensorflow,2,1,1024,814864,5, 26.9620,0.1114, 0.1800,0.0000, 0.9620,0.0040
Tensorflow,2,1,64,51664,10, 9.3360,0.0403, 0.0300,0.0000, 0.9480,0.0040
Tensorflow,2,1,128,102544,10, 13.1440,0.1354, 0.0380,0.0040, 0.9560,0.0049
