model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p1024-b128-e5, 22.838, 0.402, 0.908
ModelFCNN-Caffe-p1024-b128-e5, 22.728, 0.323, 0.910
ModelFCNN-Caffe-p1024-b128-e5, 22.651, 0.319, 0.910
ModelFCNN-Caffe-p1024-b128-e5, 22.800, 0.331, 0.909
ModelFCNN-Caffe-p1024-b128-e5, 23.195, 0.333, 0.910
ModelFCNN-Caffe-p1024-b128-e5, 23.518, 0.324, 0.911
ModelFCNN-Caffe-p1024-b128-e5, 23.207, 0.334, 0.907
ModelFCNN-Caffe-p1024-b128-e5, 23.635, 0.320, 0.908
ModelFCNN-Caffe-p1024-b128-e5, 23.300, 0.316, 0.907
ModelFCNN-Caffe-p1024-b128-e5, 23.268, 0.348, 0.907
