model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p128-b128-e10, 10.311, 0.136, 0.940
ModelFCNN-Caffe-p128-b128-e10, 10.249, 0.201, 0.940
ModelFCNN-Caffe-p128-b128-e10, 10.004, 0.107, 0.941
ModelFCNN-Caffe-p128-b128-e10, 10.330, 0.140, 0.942
ModelFCNN-Caffe-p128-b128-e10, 10.255, 0.124, 0.942
ModelFCNN-Caffe-p128-b128-e10, 10.273, 0.080, 0.940
ModelFCNN-Caffe-p128-b128-e10, 10.250, 0.113, 0.939
ModelFCNN-Caffe-p128-b128-e10, 10.290, 0.108, 0.941
ModelFCNN-Caffe-p128-b128-e10, 10.179, 0.083, 0.942
ModelFCNN-Caffe-p128-b128-e10, 10.314, 0.148, 0.941
