model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p1024-b128-e1, 5.160, 0.317, 0.886
ModelFCNN-Caffe-p1024-b128-e1, 5.073, 0.325, 0.887
ModelFCNN-Caffe-p1024-b128-e1, 5.102, 0.314, 0.887
ModelFCNN-Caffe-p1024-b128-e1, 5.090, 0.334, 0.886
ModelFCNN-Caffe-p1024-b128-e1, 5.122, 0.321, 0.886
ModelFCNN-Caffe-p1024-b128-e1, 5.068, 0.398, 0.887
ModelFCNN-Caffe-p1024-b128-e1, 5.060, 0.332, 0.889
ModelFCNN-Caffe-p1024-b128-e1, 5.050, 0.395, 0.886
ModelFCNN-Caffe-p1024-b128-e1, 4.981, 0.337, 0.888
ModelFCNN-Caffe-p1024-b128-e1, 4.973, 0.390, 0.888
