model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p64-b128-e1, 1.077, 0.097, 0.884
ModelFCNN-Caffe-p64-b128-e1, 1.183, 0.125, 0.886
ModelFCNN-Caffe-p64-b128-e1, 0.990, 0.082, 0.885
ModelFCNN-Caffe-p64-b128-e1, 1.022, 0.114, 0.888
ModelFCNN-Caffe-p64-b128-e1, 1.043, 0.086, 0.886
ModelFCNN-Caffe-p64-b128-e1, 0.954, 0.133, 0.885
ModelFCNN-Caffe-p64-b128-e1, 1.035, 0.125, 0.886
ModelFCNN-Caffe-p64-b128-e1, 1.088, 0.098, 0.886
ModelFCNN-Caffe-p64-b128-e1, 1.153, 0.100, 0.887
ModelFCNN-Caffe-p64-b128-e1, 0.951, 0.110, 0.890
