model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p512-b128-e5, 12.281, 0.220, 0.914
ModelFCNN-Caffe-p512-b128-e5, 12.210, 0.205, 0.913
ModelFCNN-Caffe-p512-b128-e5, 12.352, 0.209, 0.916
ModelFCNN-Caffe-p512-b128-e5, 12.342, 0.209, 0.917
ModelFCNN-Caffe-p512-b128-e5, 12.146, 0.213, 0.917
ModelFCNN-Caffe-p512-b128-e5, 12.147, 0.213, 0.916
ModelFCNN-Caffe-p512-b128-e5, 12.082, 0.208, 0.916
ModelFCNN-Caffe-p512-b128-e5, 12.316, 0.207, 0.914
ModelFCNN-Caffe-p512-b128-e5, 12.272, 0.207, 0.914
ModelFCNN-Caffe-p512-b128-e5, 12.134, 0.204, 0.914
