model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p100:100-b128-e10, 12.878, 0.131, 0.953
ModelFCNN-Caffe-p100:100-b128-e10, 12.867, 0.142, 0.952
ModelFCNN-Caffe-p100:100-b128-e10, 13.020, 0.147, 0.954
ModelFCNN-Caffe-p100:100-b128-e10, 12.966, 0.143, 0.955
ModelFCNN-Caffe-p100:100-b128-e10, 12.893, 0.152, 0.955
ModelFCNN-Caffe-p100:100-b128-e10, 12.869, 0.146, 0.952
ModelFCNN-Caffe-p100:100-b128-e10, 13.028, 0.147, 0.954
ModelFCNN-Caffe-p100:100-b128-e10, 12.919, 0.145, 0.952
ModelFCNN-Caffe-p100:100-b128-e10, 12.781, 0.142, 0.953
ModelFCNN-Caffe-p100:100-b128-e10, 12.945, 0.124, 0.954
