model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p64-b128-e5, 4.660, 0.117, 0.922
ModelFCNN-Caffe-p64-b128-e5, 4.578, 0.117, 0.925
ModelFCNN-Caffe-p64-b128-e5, 4.726, 0.112, 0.923
ModelFCNN-Caffe-p64-b128-e5, 4.953, 0.117, 0.925
ModelFCNN-Caffe-p64-b128-e5, 4.546, 0.105, 0.923
ModelFCNN-Caffe-p64-b128-e5, 4.426, 0.117, 0.928
ModelFCNN-Caffe-p64-b128-e5, 4.395, 0.125, 0.927
ModelFCNN-Caffe-p64-b128-e5, 4.390, 0.088, 0.926
ModelFCNN-Caffe-p64-b128-e5, 4.435, 0.112, 0.925
ModelFCNN-Caffe-p64-b128-e5, 4.451, 0.113, 0.925
