model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p100-b128-e1, 1.155, 0.120, 0.886
ModelFCNN-Caffe-p100-b128-e1, 1.171, 0.096, 0.884
ModelFCNN-Caffe-p100-b128-e1, 1.212, 0.102, 0.887
ModelFCNN-Caffe-p100-b128-e1, 1.194, 0.102, 0.888
ModelFCNN-Caffe-p100-b128-e1, 1.213, 0.132, 0.886
ModelFCNN-Caffe-p100-b128-e1, 1.129, 0.125, 0.889
ModelFCNN-Caffe-p100-b128-e1, 1.205, 0.131, 0.885
ModelFCNN-Caffe-p100-b128-e1, 1.187, 0.124, 0.884
ModelFCNN-Caffe-p100-b128-e1, 1.162, 0.097, 0.887
ModelFCNN-Caffe-p100-b128-e1, 1.159, 0.085, 0.886
