model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p100:100:100:100-b128-e1, 2.103, 0.172, 0.901
ModelFCNN-Caffe-p100:100:100:100-b128-e1, 2.085, 0.160, 0.898
ModelFCNN-Caffe-p100:100:100:100-b128-e1, 2.069, 0.170, 0.893
ModelFCNN-Caffe-p100:100:100:100-b128-e1, 2.115, 0.162, 0.897
ModelFCNN-Caffe-p100:100:100:100-b128-e1, 2.039, 0.166, 0.899
ModelFCNN-Caffe-p100:100:100:100-b128-e1, 2.110, 0.168, 0.898
ModelFCNN-Caffe-p100:100:100:100-b128-e1, 2.045, 0.160, 0.896
ModelFCNN-Caffe-p100:100:100:100-b128-e1, 2.087, 0.165, 0.893
ModelFCNN-Caffe-p100:100:100:100-b128-e1, 2.048, 0.146, 0.897
ModelFCNN-Caffe-p100:100:100:100-b128-e1, 2.078, 0.163, 0.896
