model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p100:100:100-b128-e1, 1.759, 0.137, 0.896
ModelFCNN-Caffe-p100:100:100-b128-e1, 1.816, 0.150, 0.901
ModelFCNN-Caffe-p100:100:100-b128-e1, 1.811, 0.174, 0.898
ModelFCNN-Caffe-p100:100:100-b128-e1, 1.773, 0.151, 0.897
ModelFCNN-Caffe-p100:100:100-b128-e1, 1.731, 0.142, 0.892
ModelFCNN-Caffe-p100:100:100-b128-e1, 1.822, 0.145, 0.898
ModelFCNN-Caffe-p100:100:100-b128-e1, 1.778, 0.140, 0.897
ModelFCNN-Caffe-p100:100:100-b128-e1, 1.794, 0.149, 0.899
ModelFCNN-Caffe-p100:100:100-b128-e1, 1.757, 0.109, 0.899
ModelFCNN-Caffe-p100:100:100-b128-e1, 1.759, 0.137, 0.899
