model, timeTrain, timeTest, acc
ModelFCN-Keras-p1024-b128-e5, 20.127, 0.148, 0.961
ModelFCN-Keras-p1024-b128-e5, 21.692, 0.150, 0.974
ModelFCN-Keras-p1024-b128-e5, 21.824, 0.156, 0.977
ModelFCN-Keras-p1024-b128-e5, 21.760, 0.229, 0.980
ModelFCN-Keras-p1024-b128-e5, 21.927, 0.149, 0.981
ModelFCN-Keras-p1024-b128-e5, 21.822, 0.157, 0.981
ModelFCN-Keras-p1024-b128-e5, 22.295, 0.267, 0.981
ModelFCN-Keras-p1024-b128-e5, 22.444, 0.150, 0.981
ModelFCN-Keras-p1024-b128-e5, 22.223, 0.159, 0.982
ModelFCN-Keras-p1024-b128-e5, 22.631, 0.149, 0.982
