model, timeTrain, timeTest, acc
ModelFCN-Keras-p128-b128-e1, 0.612, 0.042, 0.919
ModelFCN-Keras-p128-b128-e1, 0.741, 0.043, 0.934
ModelFCN-Keras-p128-b128-e1, 0.640, 0.053, 0.943
ModelFCN-Keras-p128-b128-e1, 0.646, 0.042, 0.950
ModelFCN-Keras-p128-b128-e1, 0.751, 0.042, 0.955
ModelFCN-Keras-p128-b128-e1, 0.671, 0.043, 0.959
ModelFCN-Keras-p128-b128-e1, 0.682, 0.042, 0.963
ModelFCN-Keras-p128-b128-e1, 0.771, 0.042, 0.964
ModelFCN-Keras-p128-b128-e1, 0.689, 0.042, 0.966
ModelFCN-Keras-p128-b128-e1, 0.681, 0.043, 0.967
