model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100:100:100-b128-e10, 9.999, 0.055, 0.972
ModelFCN-Keras-p100:100:100:100-b128-e10, 10.561, 0.058, 0.975
ModelFCN-Keras-p100:100:100:100-b128-e10, 10.880, 0.150, 0.976
ModelFCN-Keras-p100:100:100:100-b128-e10, 11.157, 0.061, 0.976
ModelFCN-Keras-p100:100:100:100-b128-e10, 11.269, 0.056, 0.977
ModelFCN-Keras-p100:100:100:100-b128-e10, 11.300, 0.056, 0.977
ModelFCN-Keras-p100:100:100:100-b128-e10, 11.959, 0.055, 0.977
ModelFCN-Keras-p100:100:100:100-b128-e10, 11.843, 0.055, 0.977
ModelFCN-Keras-p100:100:100:100-b128-e10, 11.867, 0.061, 0.977
ModelFCN-Keras-p100:100:100:100-b128-e10, 11.897, 0.059, 0.977
