model, timeTrain, timeTest, acc
ModelFCN-Keras-p100-b128-e5, 3.098, 0.041, 0.954
ModelFCN-Keras-p100-b128-e5, 3.201, 0.042, 0.968
ModelFCN-Keras-p100-b128-e5, 3.338, 0.041, 0.972
ModelFCN-Keras-p100-b128-e5, 3.286, 0.140, 0.975
ModelFCN-Keras-p100-b128-e5, 3.275, 0.043, 0.975
ModelFCN-Keras-p100-b128-e5, 3.365, 0.045, 0.976
ModelFCN-Keras-p100-b128-e5, 3.296, 0.045, 0.977
ModelFCN-Keras-p100-b128-e5, 3.409, 0.046, 0.977
ModelFCN-Keras-p100-b128-e5, 3.311, 0.045, 0.977
ModelFCN-Keras-p100-b128-e5, 3.369, 0.046, 0.977
