model, timeTrain, timeTest, acc
ModelFCN-Keras-p512-b128-e10, 20.645, 0.085, 0.973
ModelFCN-Keras-p512-b128-e10, 22.013, 0.091, 0.978
ModelFCN-Keras-p512-b128-e10, 22.376, 0.090, 0.981
ModelFCN-Keras-p512-b128-e10, 22.314, 0.085, 0.981
ModelFCN-Keras-p512-b128-e10, 22.196, 0.089, 0.981
ModelFCN-Keras-p512-b128-e10, 22.124, 0.091, 0.982
ModelFCN-Keras-p512-b128-e10, 22.400, 0.130, 0.981
ModelFCN-Keras-p512-b128-e10, 22.561, 0.092, 0.981
ModelFCN-Keras-p512-b128-e10, 22.598, 0.085, 0.982
ModelFCN-Keras-p512-b128-e10, 22.503, 0.085, 0.982
