model, timeTrain, timeTest, acc
ModelFCN-Keras-p1024-b128-e1, 3.850, 0.149, 0.925
ModelFCN-Keras-p1024-b128-e1, 3.873, 0.153, 0.942
ModelFCN-Keras-p1024-b128-e1, 3.974, 0.149, 0.949
ModelFCN-Keras-p1024-b128-e1, 4.048, 0.151, 0.957
ModelFCN-Keras-p1024-b128-e1, 4.113, 0.153, 0.962
ModelFCN-Keras-p1024-b128-e1, 4.096, 0.152, 0.965
ModelFCN-Keras-p1024-b128-e1, 4.198, 0.154, 0.967
ModelFCN-Keras-p1024-b128-e1, 4.175, 0.154, 0.970
ModelFCN-Keras-p1024-b128-e1, 4.227, 0.149, 0.972
ModelFCN-Keras-p1024-b128-e1, 4.221, 0.148, 0.973
