model, timeTrain, timeTest, acc
ModelFCN-Keras-p128-b128-e10, 6.864, 0.043, 0.967
ModelFCN-Keras-p128-b128-e10, 7.247, 0.042, 0.974
ModelFCN-Keras-p128-b128-e10, 7.183, 0.042, 0.976
ModelFCN-Keras-p128-b128-e10, 7.219, 0.042, 0.977
ModelFCN-Keras-p128-b128-e10, 7.249, 0.042, 0.977
ModelFCN-Keras-p128-b128-e10, 7.363, 0.042, 0.979
ModelFCN-Keras-p128-b128-e10, 7.419, 0.045, 0.978
ModelFCN-Keras-p128-b128-e10, 7.306, 0.043, 0.978
ModelFCN-Keras-p128-b128-e10, 7.449, 0.043, 0.979
ModelFCN-Keras-p128-b128-e10, 7.395, 0.042, 0.979
