Model,archType,numL,numN,numP,numEpoch,timeTrainMean,timeTrainStd,timeTestMean,timTestStd,accMean,accStd
Keras,2,1,1024,814864,1, 6.3364,0.8210, 0.5709,0.1089, 0.9341,0.0121
Keras,2,1,64,51664,5, 3.3602,0.4620, 0.0765,0.0243, 0.9673,0.0079
Keras,2,1,128,102544,5, 6.2939,1.4815, 0.1276,0.0530, 0.9701,0.0093
Keras,2,1,512,407824,5, 16.9033,1.0643, 0.3027,0.0627, 0.9705,0.0125
Keras,2,1,1024,814864,5, 30.5650,1.2693, 0.5432,0.0470, 0.9669,0.0143
Keras,2,1,64,51664,10, 7.2500,0.7799, 0.0792,0.0277, 0.9738,0.0041
Keras,2,1,128,102544,10, 11.0897,0.7289, 0.1264,0.0326, 0.9761,0.0049
Keras,2,1,512,407824,10, 35.1460,3.1619, 0.3131,0.0308, 0.9765,0.0066
Keras,2,1,1024,814864,10, 63.1277,4.2771, 0.5743,0.0505, 0.9758,0.0085
Torch,2,1,64,51664,1, 2.2972,0.6055, 7.4950,0.7543, 0.8799,0.0036
Torch,2,1,128,102544,1, 3.4843,0.6206, 8.7125,0.8070, 0.8938,0.0021
Torch,2,1,512,407824,1, 8.5897,1.2319, 21.9691,2.7041, 0.9089,0.0013
Torch,2,1,1024,814864,1, 12.8484,1.4406, 36.0428,3.5503, 0.9144,0.0012
Torch,2,1,64,51664,5, 10.8315,1.5436, 15.8436,1.6819, 0.9214,0.0024
Torch,2,1,128,102544,5, 13.9869,2.2247, 19.0301,2.3205, 0.9317,0.0013
Torch,2,1,512,407824,5, 37.2051,6.5473, 49.9803,8.3156, 0.9445,0.0008
Torch,2,1,1024,814864,5, 50.9635,7.7206, 68.3673,9.5148, 0.9482,0.0010
Torch,2,1,64,51664,10, 24.4918,5.9509, 29.4991,6.6032, 0.9304,0.0021
Torch,2,1,128,102544,10, 23.5230,3.3026, 28.5622,3.7395, 0.9430,0.0013
Torch,2,1,512,407824,10, 72.6159,8.2620, 84.4346,9.0214, 0.9562,0.0007
Torch,2,1,1024,814864,10, 128.8416,16.2544, 152.4880,17.5455, 0.9583,0.0011
Caffe,2,1,64,51664,1, 1.0496,0.0736, 0.1070,0.0164, 0.8863,0.0016
Caffe,2,1,128,102544,1, 1.2108,0.0627, 0.1268,0.0212, 0.8866,0.0009
Caffe,2,1,512,407824,1, 2.7198,0.0567, 0.2034,0.0065, 0.8862,0.0012
Caffe,2,1,1024,814864,1, 5.0679,0.0548, 0.3463,0.0322, 0.8870,0.0010
Caffe,2,1,64,51664,5, 4.5560,0.1715, 0.1123,0.0095, 0.9249,0.0018
Caffe,2,1,128,102544,5, 5.1344,0.1243, 0.1193,0.0198, 0.9239,0.0014
Caffe,2,1,512,407824,5, 12.2282,0.0920, 0.2095,0.0045, 0.9151,0.0014
Caffe,2,1,1024,814864,5, 23.1140,0.3235, 0.3350,0.0241, 0.9087,0.0014
Caffe,2,1,64,51664,10, 8.8499,0.1536, 0.1086,0.0100, 0.9401,0.0023
Caffe,2,1,128,102544,10, 10.2455,0.0904, 0.1240,0.0334, 0.9408,0.0010
Caffe,2,1,512,407824,10, 24.4801,0.4681, 0.2145,0.0187, 0.9321,0.0008
Caffe,2,1,1024,814864,10, 45.7879,0.6295, 0.3432,0.0269, 0.9268,0.0015
Tensorflow,2,1,64,51664,1, 0.8280,0.0098, 0.0280,0.0040, 0.8820,0.0040
Tensorflow,2,1,128,102544,1, 1.1060,0.0150, 0.0360,0.0049, 0.8920,0.0040
