model, timeTrain, timeTest, acc
ModelFCN-Keras-p512-b128-e1, 1.962, 0.090, 0.925
ModelFCN-Keras-p512-b128-e1, 1.944, 0.086, 0.942
ModelFCN-Keras-p512-b128-e1, 2.010, 0.092, 0.949
ModelFCN-Keras-p512-b128-e1, 2.047, 0.086, 0.956
ModelFCN-Keras-p512-b128-e1, 2.112, 0.085, 0.961
ModelFCN-Keras-p512-b128-e1, 2.132, 0.086, 0.963
ModelFCN-Keras-p512-b128-e1, 2.131, 0.086, 0.965
ModelFCN-Keras-p512-b128-e1, 2.138, 0.086, 0.969
ModelFCN-Keras-p512-b128-e1, 2.169, 0.088, 0.970
ModelFCN-Keras-p512-b128-e1, 2.223, 0.086, 0.972
