model, timeTrain, timeTest, acc
ModelFCN-Keras-p100-b128-e10, 6.310, 0.041, 0.967
ModelFCN-Keras-p100-b128-e10, 6.598, 0.042, 0.975
ModelFCN-Keras-p100-b128-e10, 6.759, 0.041, 0.976
ModelFCN-Keras-p100-b128-e10, 6.585, 0.044, 0.977
ModelFCN-Keras-p100-b128-e10, 6.663, 0.041, 0.977
ModelFCN-Keras-p100-b128-e10, 6.646, 0.059, 0.977
ModelFCN-Keras-p100-b128-e10, 6.729, 0.041, 0.978
ModelFCN-Keras-p100-b128-e10, 6.781, 0.115, 0.978
ModelFCN-Keras-p100-b128-e10, 6.719, 0.043, 0.977
ModelFCN-Keras-p100-b128-e10, 6.745, 0.042, 0.978
