model, timeTrain, timeTest, acc
ModelFCN-Keras-p100-b128-e1, 0.601, 0.056, 0.918
ModelFCN-Keras-p100-b128-e1, 0.568, 0.045, 0.933
ModelFCN-Keras-p100-b128-e1, 0.587, 0.045, 0.944
ModelFCN-Keras-p100-b128-e1, 0.609, 0.045, 0.951
ModelFCN-Keras-p100-b128-e1, 0.639, 0.045, 0.955
ModelFCN-Keras-p100-b128-e1, 0.622, 0.045, 0.960
ModelFCN-Keras-p100-b128-e1, 0.615, 0.045, 0.962
ModelFCN-Keras-p100-b128-e1, 0.684, 0.045, 0.964
ModelFCN-Keras-p100-b128-e1, 0.624, 0.045, 0.966
ModelFCN-Keras-p100-b128-e1, 0.642, 0.049, 0.967
