model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100:100-b128-e10, 8.924, 0.051, 0.975
ModelFCN-Keras-p100:100:100-b128-e10, 9.283, 0.051, 0.978
ModelFCN-Keras-p100:100:100-b128-e10, 9.512, 0.051, 0.978
ModelFCN-Keras-p100:100:100-b128-e10, 9.485, 0.053, 0.979
ModelFCN-Keras-p100:100:100-b128-e10, 9.578, 0.059, 0.978
ModelFCN-Keras-p100:100:100-b128-e10, 9.569, 0.051, 0.979
ModelFCN-Keras-p100:100:100-b128-e10, 9.821, 0.055, 0.979
ModelFCN-Keras-p100:100:100-b128-e10, 11.099, 0.051, 0.978
ModelFCN-Keras-p100:100:100-b128-e10, 9.904, 0.051, 0.979
ModelFCN-Keras-p100:100:100-b128-e10, 9.940, 0.052, 0.979
