model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100-b128-e1, 0.742, 0.046, 0.924
ModelFCN-Keras-p100:100-b128-e1, 0.699, 0.047, 0.945
ModelFCN-Keras-p100:100-b128-e1, 0.714, 0.046, 0.953
ModelFCN-Keras-p100:100-b128-e1, 0.758, 0.046, 0.960
ModelFCN-Keras-p100:100-b128-e1, 0.735, 0.048, 0.966
ModelFCN-Keras-p100:100-b128-e1, 0.817, 0.052, 0.964
ModelFCN-Keras-p100:100-b128-e1, 0.736, 0.048, 0.967
ModelFCN-Keras-p100:100-b128-e1, 0.740, 0.046, 0.970
ModelFCN-Keras-p100:100-b128-e1, 0.842, 0.046, 0.973
ModelFCN-Keras-p100:100-b128-e1, 0.749, 0.046, 0.971
