model, timeTrain, timeTest, acc
ModelFCN-Keras-p128-b128-e5, 3.358, 0.042, 0.957
ModelFCN-Keras-p128-b128-e5, 3.591, 0.045, 0.968
ModelFCN-Keras-p128-b128-e5, 3.521, 0.045, 0.973
ModelFCN-Keras-p128-b128-e5, 3.660, 0.050, 0.977
ModelFCN-Keras-p128-b128-e5, 3.623, 0.049, 0.978
ModelFCN-Keras-p128-b128-e5, 3.559, 0.046, 0.978
ModelFCN-Keras-p128-b128-e5, 3.680, 0.047, 0.979
ModelFCN-Keras-p128-b128-e5, 3.710, 0.045, 0.979
ModelFCN-Keras-p128-b128-e5, 3.666, 0.046, 0.980
ModelFCN-Keras-p128-b128-e5, 3.596, 0.047, 0.980
