model, timeTrain, timeTest, acc
ModelFCN-Caffe-p100:100:100-b128-e10, 9.508, 0.122, 0.959
ModelFCN-Caffe-p100:100:100-b128-e10, 9.633, 0.083, 0.962
ModelFCN-Caffe-p100:100:100-b128-e10, 9.751, 0.115, 0.961
ModelFCN-Caffe-p100:100:100-b128-e10, 9.458, 0.107, 0.963
ModelFCN-Caffe-p100:100:100-b128-e10, 9.466, 0.118, 0.963
ModelFCN-Caffe-p100:100:100-b128-e10, 9.505, 0.111, 0.960
ModelFCN-Caffe-p100:100:100-b128-e10, 9.735, 0.093, 0.962
ModelFCN-Caffe-p100:100:100-b128-e10, 9.640, 0.109, 0.956
ModelFCN-Caffe-p100:100:100-b128-e10, 9.451, 0.110, 0.962
ModelFCN-Caffe-p100:100:100-b128-e10, 9.730, 0.113, 0.964
