model, timeTrain, timeTest, acc
ModelFCN-Caffe-p100:100-b128-e1, 1.091, 0.089, 0.890
ModelFCN-Caffe-p100:100-b128-e1, 1.238, 0.108, 0.889
ModelFCN-Caffe-p100:100-b128-e1, 0.943, 0.090, 0.892
ModelFCN-Caffe-p100:100-b128-e1, 1.174, 0.100, 0.893
ModelFCN-Caffe-p100:100-b128-e1, 1.134, 0.109, 0.892
ModelFCN-Caffe-p100:100-b128-e1, 1.145, 0.095, 0.896
ModelFCN-Caffe-p100:100-b128-e1, 1.072, 0.114, 0.890
ModelFCN-Caffe-p100:100-b128-e1, 0.997, 0.114, 0.895
ModelFCN-Caffe-p100:100-b128-e1, 1.018, 0.150, 0.890
ModelFCN-Caffe-p100:100-b128-e1, 0.969, 0.120, 0.891
