model, timeTrain, timeTest, acc
ModelFCN-Caffe-p512-b128-e5, 7.543, 0.130, 0.941
ModelFCN-Caffe-p512-b128-e5, 7.581, 0.129, 0.942
ModelFCN-Caffe-p512-b128-e5, 7.647, 0.148, 0.941
ModelFCN-Caffe-p512-b128-e5, 7.536, 0.129, 0.941
ModelFCN-Caffe-p512-b128-e5, 7.431, 0.134, 0.940
ModelFCN-Caffe-p512-b128-e5, 7.503, 0.145, 0.941
ModelFCN-Caffe-p512-b128-e5, 7.509, 0.148, 0.940
ModelFCN-Caffe-p512-b128-e5, 7.646, 0.136, 0.940
ModelFCN-Caffe-p512-b128-e5, 7.573, 0.136, 0.939
ModelFCN-Caffe-p512-b128-e5, 7.616, 0.134, 0.939
