model, timeTrain, timeTest, acc
ModelFCN-Caffe-p128-b128-e5, 4.463, 0.113, 0.936
ModelFCN-Caffe-p128-b128-e5, 4.241, 0.086, 0.931
ModelFCN-Caffe-p128-b128-e5, 4.277, 0.108, 0.935
ModelFCN-Caffe-p128-b128-e5, 4.251, 0.108, 0.932
ModelFCN-Caffe-p128-b128-e5, 3.978, 0.115, 0.933
ModelFCN-Caffe-p128-b128-e5, 3.861, 0.115, 0.934
ModelFCN-Caffe-p128-b128-e5, 4.531, 0.107, 0.935
ModelFCN-Caffe-p128-b128-e5, 4.955, 0.114, 0.932
ModelFCN-Caffe-p128-b128-e5, 3.917, 0.100, 0.936
ModelFCN-Caffe-p128-b128-e5, 4.372, 0.102, 0.933
