model, timeTrain, timeTest, acc
ModelFCN-Caffe-p100-b128-e1, 1.074, 0.109, 0.887
ModelFCN-Caffe-p100-b128-e1, 0.890, 0.089, 0.891
ModelFCN-Caffe-p100-b128-e1, 1.061, 0.101, 0.889
ModelFCN-Caffe-p100-b128-e1, 0.994, 0.113, 0.889
ModelFCN-Caffe-p100-b128-e1, 1.026, 0.104, 0.889
ModelFCN-Caffe-p100-b128-e1, 1.092, 0.090, 0.892
ModelFCN-Caffe-p100-b128-e1, 1.001, 0.113, 0.888
ModelFCN-Caffe-p100-b128-e1, 1.060, 0.106, 0.892
ModelFCN-Caffe-p100-b128-e1, 1.150, 0.099, 0.888
ModelFCN-Caffe-p100-b128-e1, 0.977, 0.114, 0.885
