model, timeTrain, timeTest, acc
ModelFCN-Caffe-p128-b128-e10, 8.195, 0.095, 0.953
ModelFCN-Caffe-p128-b128-e10, 8.917, 0.113, 0.955
ModelFCN-Caffe-p128-b128-e10, 8.752, 0.105, 0.951
ModelFCN-Caffe-p128-b128-e10, 8.303, 0.103, 0.951
ModelFCN-Caffe-p128-b128-e10, 8.305, 0.107, 0.951
ModelFCN-Caffe-p128-b128-e10, 8.319, 0.105, 0.950
ModelFCN-Caffe-p128-b128-e10, 7.954, 0.065, 0.953
ModelFCN-Caffe-p128-b128-e10, 8.136, 0.186, 0.954
ModelFCN-Caffe-p128-b128-e10, 8.592, 0.111, 0.949
ModelFCN-Caffe-p128-b128-e10, 7.796, 0.090, 0.953
