model, timeTrain, timeTest, acc
ModelFCN-Torch-p64-b128-e10, 13.036538124084, 21.452146053314, 0.42255078391172
ModelFCN-Torch-p64-b128-e10, 13.209552049637, 21.484045028687, 0.77573894113302
ModelFCN-Torch-p64-b128-e10, 13.133888959885, 21.615365028381, 0.62476519886404
ModelFCN-Torch-p64-b128-e10, 12.780812978745, 21.215394973755, 0.46613476192579
ModelFCN-Torch-p64-b128-e10, 13.089307069778, 21.605153083801, 0.43048661842477
ModelFCN-Torch-p64-b128-e10, 13.249919891357, 21.444642066956, 0.81824155449867
ModelFCN-Torch-p64-b128-e10, 12.974720001221, 21.123070001602, 0.81825014352798
ModelFCN-Torch-p64-b128-e10, 13.116394996643, 21.427726984024, 0.87853316068649
ModelFCN-Torch-p64-b128-e10, 13.025218009949, 21.172636985779, 0.75354797318578
ModelFCN-Torch-p64-b128-e10, 13.001611948013, 21.300282001495, 0.56111578173004
